time,score
19.7023,4.68973
30.0182,9.36429
33.8251,13.6717
33.8329,17.9791
36.088,22.2678
38.4071,22.2678
38.5634,26.5461
41.1957,26.5461
58.8514,30.4265
61.7544,34.656
